assessment,assessment_status,type_of_assessment,is_custom,grade,module,curriculum,school,date_launched,date_completed,overall_points_achieved,overall_points_possible,overall_percentage,performance_band
"Grade 5, Module 2, Topic C Quiz 2",open,TQ,FALSE,5,2,em2ca,Marigold Elementary School,6/15/25,6/15/25,6,6,100,advanced
"Grade 5, Module 5, Topic D Quiz 1",open,TQ,FALSE,5,5,em2ca,Driftwood Elementary School,1/16/25,1/16/25,6,6,100,advanced
"Grade 3, Module 2, Topic C Quiz 3",open,TQ,FALSE,3,2,em2ca,Glacier Peak Elementary School,4/9/25,4/9/25,7,11,64,partially proficient
"Grade 4, Module 3, Topic D Quiz 1",open,TQ,FALSE,4,3,em2ca,Glacier Peak Elementary School,8/11/25,8/11/25,6,10,60,partially proficient
"Grade 3, Module 1, Topic A Quiz 3",open,TQ,FALSE,3,1,em2ca,Riverbend Elementary School,6/3/25,6/3/25,4,11,36,not yet proficient
"Grade 3, Module 6, Topic A Quiz 2",open,TQ,FALSE,3,6,em2ca,Glacier Peak Elementary School,5/13/25,5/13/25,6,11,55,partially proficient
"Grade 5, Module 2, Topic A Quiz 2",open,TQ,FALSE,5,2,em2ca,Songbird Meadows Elementary School,4/8/25,4/8/25,15,15,100,advanced
"Grade 4, Module 2, Topic A Quiz 1",open,TQ,FALSE,4,2,em2ca,Aspen Grove Elementary School,7/14/25,7/14/25,13,15,87,advanced
"Grade 5, Module 6, Topic D Quiz 2",open,TQ,FALSE,5,6,em2ca,Sunflower Ridge Elementary School,10/11/25,10/11/25,5,18,28,not yet proficient
"Grade 4, Module 2, Topic D Quiz 2",open,TQ,FALSE,4,2,em2ca,Crescent Cove Elementary School,4/27/25,4/27/25,14,16,88,advanced
"Grade 3, Module 4, Topic E Quiz 3",open,TQ,FALSE,3,4,em2ca,Copperfield Elementary School,4/15/25,4/15/25,2,11,18,not yet proficient
"Grade 4, Module 2, Topic E Quiz 3",open,TQ,FALSE,4,2,em2ca,Birchwood Elementary School,1/14/25,1/14/25,3,7,43,not yet proficient
"Grade 5, Module 2, Topic B Quiz 3",open,TQ,FALSE,5,2,em2ca,Riverbend Elementary School,8/8/25,8/8/25,12,15,80,advanced
"Grade 4, Module 2, Topic F Quiz 2",open,TQ,FALSE,4,2,em2ca,Aspen Grove Elementary School,6/25/25,6/25/25,10,11,91,advanced
"Grade 4, Module 4, Topic B Quiz 2",open,TQ,FALSE,4,4,em2ca,Glacier Peak Elementary School,11/27/25,11/27/25,7,14,50,partially proficient
"Grade 5, Module 6, Topic C Quiz 1",open,TQ,FALSE,5,6,em2ca,Marigold Elementary School,8/3/25,8/3/25,10,12,83,advanced
"Grade 3, Module 3, Topic A Quiz 3",open,TQ,FALSE,3,3,em2ca,Wildflower Elementary School,3/10/25,3/10/25,8,18,44,not yet proficient
"Grade 5, Module 5, Topic C Quiz 3",open,TQ,FALSE,5,5,em2ca,Wildflower Elementary School,7/1/25,7/1/25,9,13,69,proficient
"Grade 4, Module 5, Topic E Quiz 1",open,TQ,FALSE,4,5,em2ca,Riverbend Elementary School,8/20/25,8/20/25,9,17,53,partially proficient
"Grade 5, Module 5, Topic E Quiz 3",open,TQ,FALSE,5,5,em2ca,Driftwood Elementary School,6/7/25,6/7/25,10,12,83,advanced
"Grade 3, Module 6, Topic D Quiz 2",open,TQ,FALSE,3,6,em2ca,Quartz Creek Elementary School,2/26/25,2/26/25,7,17,41,not yet proficient
"Grade 3, Module 4, Topic A Quiz 3",open,TQ,FALSE,3,4,em2ca,Crescent Cove Elementary School,3/5/25,3/5/25,10,17,59,partially proficient
"Grade 4, Module 6, Topic F Quiz 3",open,TQ,FALSE,4,6,em2ca,Glacier Peak Elementary School,11/24/25,11/24/25,11,17,65,proficient
"Grade 4, Module 1, Topic C Quiz 3",open,TQ,FALSE,4,1,em2ca,Periwinkle Elementary School,6/2/25,6/2/25,7,10,70,proficient
"Grade 3, Module 5, Topic F Quiz 2",open,TQ,FALSE,3,5,em2ca,Periwinkle Elementary School,11/6/25,11/6/25,3,7,43,not yet proficient
"Grade 5, Module 3, Topic B Quiz 2",open,TQ,FALSE,5,3,em2ca,Sequoia Elementary School,7/9/25,7/9/25,16,16,100,advanced
"Grade 4, Module 6, Topic A Quiz 3",open,TQ,FALSE,4,6,em2ca,Foxglen Elementary School,3/19/25,3/19/25,4,14,29,not yet proficient
"Grade 4, Module 1, Topic F Quiz 1",open,TQ,FALSE,4,1,em2ca,Birchwood Elementary School,8/14/25,8/14/25,4,16,25,not yet proficient
"Grade 4, Module 1, Topic F Quiz 3",open,TQ,FALSE,4,1,em2ca,Thornberry Elementary School,5/23/25,5/23/25,3,12,25,not yet proficient
"Grade 4, Module 5, Topic A Quiz 1",open,TQ,FALSE,4,5,em2ca,Riverbend Elementary School,2/23/25,2/23/25,5,14,36,not yet proficient
"Grade 5, Module 5, Topic A Quiz 1",open,TQ,FALSE,5,5,em2ca,Crescent Cove Elementary School,5/10/25,5/10/25,5,6,83,advanced
"Grade 4, Module 1, Topic D Quiz 2",open,TQ,FALSE,4,1,em2ca,Foxglen Elementary School,11/5/25,11/5/25,6,9,67,proficient
"Grade 3, Module 5, Topic B Quiz 3",open,TQ,FALSE,3,5,em2ca,Foxglen Elementary School,8/4/25,8/4/25,2,9,22,not yet proficient
"Grade 3, Module 3, Topic C Quiz 2",open,TQ,FALSE,3,3,em2ca,Marigold Elementary School,10/20/25,10/20/25,3,7,43,not yet proficient
"Grade 5, Module 5, Topic D Quiz 1",open,TQ,FALSE,5,5,em2ca,Songbird Meadows Elementary School,8/6/25,8/6/25,11,12,92,advanced
"Grade 5, Module 5, Topic B Quiz 1",open,TQ,FALSE,5,5,em2ca,Riverbend Elementary School,3/21/25,3/21/25,11,18,61,partially proficient
"Grade 3, Module 6, Topic C Quiz 1",open,TQ,FALSE,3,6,em2ca,Periwinkle Elementary School,5/27/25,5/27/25,8,17,47,partially proficient
"Grade 4, Module 4, Topic D Quiz 2",open,TQ,FALSE,4,4,em2ca,Lantern Hill Elementary School,3/3/25,3/3/25,8,14,57,partially proficient
"Grade 3, Module 3, Topic E Quiz 1",open,TQ,FALSE,3,3,em2ca,Thornberry Elementary School,3/5/25,3/5/25,4,14,29,not yet proficient
"Grade 4, Module 1, Topic A Quiz 1",open,TQ,FALSE,4,1,em2ca,Crescent Cove Elementary School,7/24/25,7/24/25,13,13,100,advanced
"Grade 3, Module 4, Topic D Quiz 2",open,TQ,FALSE,3,4,em2ca,Crescent Cove Elementary School,10/6/25,10/6/25,11,14,79,proficient
"Grade 4, Module 4, Topic F Quiz 2",open,TQ,FALSE,4,4,em2ca,Quartz Creek Elementary School,3/24/25,3/24/25,7,15,47,partially proficient
"Grade 3, Module 2, Topic A Quiz 2",open,TQ,FALSE,3,2,em2ca,Foxglen Elementary School,1/10/25,1/10/25,3,15,20,not yet proficient
"Grade 3, Module 1, Topic E Quiz 3",open,TQ,FALSE,3,1,em2ca,Birchwood Elementary School,3/10/25,3/10/25,1,6,17,not yet proficient
"Grade 5, Module 1, Topic D Quiz 1",open,TQ,FALSE,5,1,em2ca,Songbird Meadows Elementary School,2/22/25,2/22/25,9,10,90,advanced
"Grade 3, Module 3, Topic A Quiz 2",open,TQ,FALSE,3,3,em2ca,Riverbend Elementary School,10/25/25,10/25/25,3,6,50,partially proficient
"Grade 3, Module 3, Topic F Quiz 3",open,TQ,FALSE,3,3,em2ca,Thornberry Elementary School,11/28/25,11/28/25,2,9,22,not yet proficient
"Grade 4, Module 3, Topic B Quiz 2",open,TQ,FALSE,4,3,em2ca,Lantern Hill Elementary School,4/11/25,4/11/25,9,13,69,proficient
"Grade 3, Module 3, Topic C Quiz 2",open,TQ,FALSE,3,3,em2ca,Thornberry Elementary School,11/11/25,11/11/25,2,17,12,not yet proficient
"Grade 5, Module 2, Topic D Quiz 2",open,TQ,FALSE,5,2,em2ca,Cobblestone Elementary School,7/20/25,7/20/25,9,15,60,partially proficient
"Grade 4, Module 4, Topic F Quiz 2",open,TQ,FALSE,4,4,em2ca,Glacier Peak Elementary School,9/3/25,9/3/25,8,13,62,partially proficient
"Grade 3, Module 1, Topic E Quiz 3",open,TQ,FALSE,3,1,em2ca,Glacier Peak Elementary School,6/8/25,6/8/25,5,9,56,partially proficient
"Grade 3, Module 2, Topic B Quiz 3",open,TQ,FALSE,3,2,em2ca,Copperfield Elementary School,11/14/25,11/14/25,3,8,38,not yet proficient
"Grade 5, Module 2, Topic E Quiz 1",open,TQ,FALSE,5,2,em2ca,Birchwood Elementary School,11/18/25,11/18/25,7,12,58,partially proficient
"Grade 5, Module 6, Topic C Quiz 2",open,TQ,FALSE,5,6,em2ca,Driftwood Elementary School,11/5/25,11/5/25,10,13,77,proficient
"Grade 3, Module 3, Topic F Quiz 1",open,TQ,FALSE,3,3,em2ca,Glacier Peak Elementary School,10/18/25,10/18/25,7,13,54,partially proficient
"Grade 3, Module 6, Topic F Quiz 1",open,TQ,FALSE,3,6,em2ca,Songbird Meadows Elementary School,10/3/25,10/3/25,6,11,55,partially proficient
"Grade 4, Module 2, Topic E Quiz 1",open,TQ,FALSE,4,2,em2ca,Wildflower Elementary School,10/19/25,10/19/25,4,6,67,proficient
"Grade 3, Module 5, Topic C Quiz 1",open,TQ,FALSE,3,5,em2ca,Aspen Grove Elementary School,3/7/25,3/7/25,7,10,70,proficient
"Grade 5, Module 2, Topic E Quiz 3",open,TQ,FALSE,5,2,em2ca,Birchwood Elementary School,5/23/25,5/23/25,10,18,56,partially proficient
"Grade 4, Module 1, Topic B Quiz 3",open,TQ,FALSE,4,1,em2ca,Wildflower Elementary School,8/27/25,8/27/25,4,7,57,partially proficient
"Grade 3, Module 5, Topic F Quiz 1",open,TQ,FALSE,3,5,em2ca,Riverbend Elementary School,11/21/25,11/21/25,7,14,50,partially proficient
"Grade 4, Module 6, Topic E Quiz 3",open,TQ,FALSE,4,6,em2ca,Periwinkle Elementary School,9/20/25,9/20/25,8,18,44,not yet proficient
"Grade 4, Module 2, Topic A Quiz 2",open,TQ,FALSE,4,2,em2ca,Heritage Pines Elementary School,3/10/25,3/10/25,15,16,94,advanced
"Grade 3, Module 2, Topic A Quiz 3",open,TQ,FALSE,3,2,em2ca,Glacier Peak Elementary School,10/9/25,10/9/25,5,7,71,proficient
"Grade 4, Module 3, Topic D Quiz 2",open,TQ,FALSE,4,3,em2ca,Driftwood Elementary School,11/12/25,11/12/25,6,7,86,advanced
"Grade 5, Module 6, Topic C Quiz 3",open,TQ,FALSE,5,6,em2ca,Copperfield Elementary School,8/7/25,8/7/25,10,15,67,proficient
"Grade 5, Module 4, Topic A Quiz 2",open,TQ,FALSE,5,4,em2ca,Sunflower Ridge Elementary School,2/4/25,2/4/25,3,13,23,not yet proficient
"Grade 5, Module 5, Topic C Quiz 2",open,TQ,FALSE,5,5,em2ca,Foxglen Elementary School,11/4/25,11/4/25,5,8,63,partially proficient
"Grade 5, Module 2, Topic E Quiz 2",open,TQ,FALSE,5,2,em2ca,Wildflower Elementary School,7/23/25,7/23/25,9,11,82,advanced
"Grade 3, Module 4, Topic A Quiz 2",open,TQ,FALSE,3,4,em2ca,Cobblestone Elementary School,10/20/25,10/20/25,0,12,0,not yet proficient
"Grade 4, Module 6, Topic C Quiz 1",open,TQ,FALSE,4,6,em2ca,Marigold Elementary School,4/8/25,4/8/25,9,16,56,partially proficient
"Grade 5, Module 1, Topic F Quiz 2",open,TQ,FALSE,5,1,em2ca,Hawthorn Park Elementary School,11/14/25,11/14/25,5,6,83,advanced
"Grade 4, Module 4, Topic A Quiz 2",open,TQ,FALSE,4,4,em2ca,Hawthorn Park Elementary School,2/19/25,2/19/25,14,15,93,advanced
"Grade 3, Module 6, Topic E Quiz 3",open,TQ,FALSE,3,6,em2ca,Thornberry Elementary School,11/25/25,11/25/25,1,7,14,not yet proficient
"Grade 4, Module 4, Topic E Quiz 2",open,TQ,FALSE,4,4,em2ca,Birchwood Elementary School,7/23/25,7/23/25,1,6,17,not yet proficient
"Grade 3, Module 6, Topic C Quiz 2",open,TQ,FALSE,3,6,em2ca,Copperfield Elementary School,9/3/25,9/3/25,2,6,33,not yet proficient
"Grade 3, Module 5, Topic C Quiz 3",open,TQ,FALSE,3,5,em2ca,Aspen Grove Elementary School,7/10/25,7/10/25,4,7,57,partially proficient
"Grade 4, Module 6, Topic F Quiz 1",open,TQ,FALSE,4,6,em2ca,Sequoia Elementary School,7/14/25,7/14/25,11,12,92,advanced
"Grade 4, Module 6, Topic D Quiz 2",open,TQ,FALSE,4,6,em2ca,Heritage Pines Elementary School,8/19/25,8/19/25,13,16,81,advanced
"Grade 4, Module 2, Topic F Quiz 2",open,TQ,FALSE,4,2,em2ca,Sequoia Elementary School,5/14/25,5/14/25,13,13,100,advanced
"Grade 5, Module 3, Topic D Quiz 3",open,TQ,FALSE,5,3,em2ca,Wildflower Elementary School,7/13/25,7/13/25,9,15,60,partially proficient
"Grade 4, Module 1, Topic F Quiz 3",open,TQ,FALSE,4,1,em2ca,Quartz Creek Elementary School,9/5/25,9/5/25,6,17,35,not yet proficient
"Grade 5, Module 2, Topic D Quiz 2",open,TQ,FALSE,5,2,em2ca,Cobblestone Elementary School,8/8/25,8/8/25,7,16,44,not yet proficient
"Grade 3, Module 1, Topic A Quiz 1",open,TQ,FALSE,3,1,em2ca,Marigold Elementary School,1/14/25,1/14/25,10,14,71,proficient
"Grade 5, Module 3, Topic D Quiz 1",open,TQ,FALSE,5,3,em2ca,Copperfield Elementary School,6/12/25,6/12/25,10,18,56,partially proficient
"Grade 4, Module 2, Topic B Quiz 1",open,TQ,FALSE,4,2,em2ca,Aspen Grove Elementary School,5/8/25,5/8/25,10,18,56,partially proficient
"Grade 4, Module 2, Topic F Quiz 2",open,TQ,FALSE,4,2,em2ca,Periwinkle Elementary School,1/13/25,1/13/25,8,9,89,advanced
"Grade 3, Module 5, Topic D Quiz 3",open,TQ,FALSE,3,5,em2ca,Marigold Elementary School,10/25/25,10/25/25,5,14,36,not yet proficient
"Grade 3, Module 1, Topic B Quiz 2",open,TQ,FALSE,3,1,em2ca,Driftwood Elementary School,6/6/25,6/6/25,6,10,60,partially proficient
"Grade 3, Module 4, Topic B Quiz 2",open,TQ,FALSE,3,4,em2ca,Birchwood Elementary School,4/28/25,4/28/25,0,12,0,not yet proficient
"Grade 4, Module 2, Topic D Quiz 3",open,TQ,FALSE,4,2,em2ca,Wildflower Elementary School,11/14/25,11/14/25,12,17,71,proficient
"Grade 3, Module 2, Topic A Quiz 3",open,TQ,FALSE,3,2,em2ca,Riverbend Elementary School,9/6/25,9/6/25,3,6,50,partially proficient
"Grade 5, Module 2, Topic C Quiz 1",open,TQ,FALSE,5,2,em2ca,Heritage Pines Elementary School,10/4/25,10/4/25,11,11,100,advanced
"Grade 3, Module 5, Topic C Quiz 1",open,TQ,FALSE,3,5,em2ca,Copperfield Elementary School,9/16/25,9/16/25,4,13,31,not yet proficient
"Grade 4, Module 5, Topic B Quiz 3",open,TQ,FALSE,4,5,em2ca,Riverbend Elementary School,10/19/25,10/19/25,9,14,64,partially proficient
"Grade 4, Module 3, Topic C Quiz 2",open,TQ,FALSE,4,3,em2ca,Aspen Grove Elementary School,9/14/25,9/14/25,7,12,58,partially proficient
"Grade 3, Module 4, Topic D Quiz 2",open,TQ,FALSE,3,4,em2ca,Marigold Elementary School,9/5/25,9/5/25,5,10,50,partially proficient
"Grade 4, Module 1, Topic D Quiz 3",open,TQ,FALSE,4,1,em2ca,Lantern Hill Elementary School,2/23/25,2/23/25,10,13,77,proficient
"Grade 4, Module 1, Topic E Quiz 2",open,TQ,FALSE,4,1,em2ca,Thornberry Elementary School,5/9/25,5/9/25,3,12,25,not yet proficient
"Grade 3, Module 1, Topic A Quiz 2",open,TQ,FALSE,3,1,em2ca,Crescent Cove Elementary School,3/28/25,3/28/25,12,17,71,proficient
"Grade 3, Module 1, Topic A Quiz 1",open,TQ,FALSE,3,1,em2ca,Songbird Meadows Elementary School,1/11/25,1/11/25,7,12,58,partially proficient
"Grade 3, Module 5, Topic D Quiz 1",open,TQ,FALSE,3,5,em2ca,Driftwood Elementary School,9/3/25,9/3/25,6,8,75,proficient
"Grade 4, Module 3, Topic D Quiz 1",open,TQ,FALSE,4,3,em2ca,Periwinkle Elementary School,6/20/25,6/20/25,6,10,60,partially proficient
"Grade 3, Module 4, Topic F Quiz 2",open,TQ,FALSE,3,4,em2ca,Foxglen Elementary School,11/12/25,11/12/25,2,7,29,not yet proficient
"Grade 4, Module 2, Topic A Quiz 2",open,TQ,FALSE,4,2,em2ca,Cobblestone Elementary School,6/7/25,6/7/25,2,10,20,not yet proficient
"Grade 3, Module 3, Topic C Quiz 2",open,TQ,FALSE,3,3,em2ca,Quartz Creek Elementary School,5/2/25,5/2/25,3,8,38,not yet proficient
"Grade 5, Module 3, Topic E Quiz 2",open,TQ,FALSE,5,3,em2ca,Aspen Grove Elementary School,5/26/25,5/26/25,7,9,78,proficient
"Grade 3, Module 5, Topic F Quiz 1",open,TQ,FALSE,3,5,em2ca,Aspen Grove Elementary School,5/10/25,5/10/25,4,11,36,not yet proficient
"Grade 4, Module 5, Topic C Quiz 1",open,TQ,FALSE,4,5,em2ca,Sunflower Ridge Elementary School,2/20/25,2/20/25,4,13,31,not yet proficient
"Grade 3, Module 4, Topic E Quiz 3",open,TQ,FALSE,3,4,em2ca,Birchwood Elementary School,10/17/25,10/17/25,1,15,7,not yet proficient
"Grade 4, Module 4, Topic F Quiz 2",open,TQ,FALSE,4,4,em2ca,Thornberry Elementary School,7/22/25,7/22/25,5,11,45,partially proficient
"Grade 5, Module 4, Topic D Quiz 3",open,TQ,FALSE,5,4,em2ca,Periwinkle Elementary School,11/27/25,11/27/25,7,16,44,not yet proficient
"Grade 5, Module 3, Topic B Quiz 3",open,TQ,FALSE,5,3,em2ca,Heritage Pines Elementary School,2/4/25,2/4/25,8,9,89,advanced
"Grade 4, Module 3, Topic B Quiz 2",open,TQ,FALSE,4,3,em2ca,Periwinkle Elementary School,2/3/25,2/3/25,9,11,82,advanced
"Grade 5, Module 2, Topic A Quiz 1",open,TQ,FALSE,5,2,em2ca,Wildflower Elementary School,9/10/25,9/10/25,6,7,86,advanced
"Grade 5, Module 2, Topic B Quiz 1",open,TQ,FALSE,5,2,em2ca,Periwinkle Elementary School,11/10/25,11/10/25,15,18,83,advanced
"Grade 3, Module 2, Topic C Quiz 3",open,TQ,FALSE,3,2,em2ca,Quartz Creek Elementary School,8/2/25,8/2/25,2,7,29,not yet proficient
"Grade 4, Module 4, Topic A Quiz 1",open,TQ,FALSE,4,4,em2ca,Thornberry Elementary School,8/26/25,8/26/25,5,12,42,not yet proficient
"Grade 3, Module 6, Topic A Quiz 1",open,TQ,FALSE,3,6,em2ca,Periwinkle Elementary School,11/4/25,11/4/25,5,17,29,not yet proficient
"Grade 4, Module 4, Topic F Quiz 2",open,TQ,FALSE,4,4,em2ca,Sequoia Elementary School,2/7/25,2/7/25,6,8,75,proficient
"Grade 4, Module 4, Topic F Quiz 3",open,TQ,FALSE,4,4,em2ca,Glacier Peak Elementary School,11/8/25,11/8/25,7,12,58,partially proficient
"Grade 5, Module 6, Topic D Quiz 1",open,TQ,FALSE,5,6,em2ca,Driftwood Elementary School,9/9/25,9/9/25,12,13,92,advanced
"Grade 3, Module 2, Topic F Quiz 3",open,TQ,FALSE,3,2,em2ca,Birchwood Elementary School,2/27/25,2/27/25,3,8,38,not yet proficient
"Grade 3, Module 2, Topic B Quiz 3",open,TQ,FALSE,3,2,em2ca,Glacier Peak Elementary School,6/1/25,6/1/25,7,10,70,proficient
"Grade 3, Module 6, Topic C Quiz 2",open,TQ,FALSE,3,6,em2ca,Aspen Grove Elementary School,7/28/25,7/28/25,5,9,56,partially proficient
"Grade 4, Module 1, Topic D Quiz 3",open,TQ,FALSE,4,1,em2ca,Periwinkle Elementary School,10/6/25,10/6/25,5,7,71,proficient
"Grade 4, Module 4, Topic A Quiz 3",open,TQ,FALSE,4,4,em2ca,Sequoia Elementary School,2/27/25,2/27/25,12,16,75,proficient
"Grade 5, Module 1, Topic B Quiz 3",open,TQ,FALSE,5,1,em2ca,Quartz Creek Elementary School,7/5/25,7/5/25,10,18,56,partially proficient
"Grade 5, Module 4, Topic F Quiz 2",open,TQ,FALSE,5,4,em2ca,Thornberry Elementary School,5/1/25,5/1/25,3,16,19,not yet proficient
"Grade 5, Module 5, Topic D Quiz 3",open,TQ,FALSE,5,5,em2ca,Foxglen Elementary School,6/19/25,6/19/25,3,6,50,partially proficient
"Grade 5, Module 3, Topic D Quiz 2",open,TQ,FALSE,5,3,em2ca,Wildflower Elementary School,11/8/25,11/8/25,6,10,60,partially proficient
"Grade 4, Module 6, Topic C Quiz 3",open,TQ,FALSE,4,6,em2ca,Driftwood Elementary School,9/23/25,9/23/25,13,18,72,proficient
"Grade 3, Module 2, Topic C Quiz 2",open,TQ,FALSE,3,2,em2ca,Glacier Peak Elementary School,11/8/25,11/8/25,11,17,65,proficient
"Grade 3, Module 4, Topic E Quiz 3",open,TQ,FALSE,3,4,em2ca,Lantern Hill Elementary School,3/26/25,3/26/25,4,8,50,partially proficient
"Grade 3, Module 3, Topic C Quiz 2",open,TQ,FALSE,3,3,em2ca,Copperfield Elementary School,9/17/25,9/17/25,4,15,27,not yet proficient
"Grade 4, Module 3, Topic B Quiz 2",open,TQ,FALSE,4,3,em2ca,Wildflower Elementary School,2/3/25,2/3/25,9,16,56,partially proficient
"Grade 4, Module 1, Topic A Quiz 1",open,TQ,FALSE,4,1,em2ca,Riverbend Elementary School,9/11/25,9/11/25,8,11,73,proficient
"Grade 3, Module 1, Topic B Quiz 2",open,TQ,FALSE,3,1,em2ca,Heritage Pines Elementary School,1/20/25,1/20/25,7,9,78,proficient
"Grade 5, Module 4, Topic D Quiz 3",open,TQ,FALSE,5,4,em2ca,Sequoia Elementary School,7/19/25,7/19/25,6,7,86,advanced
"Grade 3, Module 5, Topic E Quiz 2",open,TQ,FALSE,3,5,em2ca,Cobblestone Elementary School,2/6/25,2/6/25,3,13,23,not yet proficient
"Grade 5, Module 2, Topic A Quiz 2",open,TQ,FALSE,5,2,em2ca,Sequoia Elementary School,6/6/25,6/6/25,12,12,100,advanced
"Grade 3, Module 5, Topic B Quiz 1",open,TQ,FALSE,3,5,em2ca,Crescent Cove Elementary School,10/24/25,10/24/25,11,12,92,advanced
"Grade 3, Module 2, Topic A Quiz 3",open,TQ,FALSE,3,2,em2ca,Heritage Pines Elementary School,9/5/25,9/5/25,9,11,82,advanced
"Grade 4, Module 4, Topic D Quiz 3",open,TQ,FALSE,4,4,em2ca,Copperfield Elementary School,10/1/25,10/1/25,3,13,23,not yet proficient
"Grade 3, Module 4, Topic F Quiz 2",open,TQ,FALSE,3,4,em2ca,Aspen Grove Elementary School,9/9/25,9/9/25,4,8,50,partially proficient
"Grade 4, Module 4, Topic D Quiz 3",open,TQ,FALSE,4,4,em2ca,Quartz Creek Elementary School,7/17/25,7/17/25,2,8,25,not yet proficient
"Grade 3, Module 6, Topic E Quiz 3",open,TQ,FALSE,3,6,em2ca,Wildflower Elementary School,5/4/25,5/4/25,2,6,33,not yet proficient
"Grade 4, Module 1, Topic E Quiz 2",open,TQ,FALSE,4,1,em2ca,Cobblestone Elementary School,9/27/25,9/27/25,1,10,10,not yet proficient
"Grade 4, Module 6, Topic F Quiz 2",open,TQ,FALSE,4,6,em2ca,Birchwood Elementary School,9/12/25,9/12/25,3,13,23,not yet proficient
"Grade 5, Module 1, Topic A Quiz 3",open,TQ,FALSE,5,1,em2ca,Quartz Creek Elementary School,10/9/25,10/9/25,6,13,46,partially proficient
"Grade 4, Module 2, Topic B Quiz 2",open,TQ,FALSE,4,2,em2ca,Cobblestone Elementary School,8/22/25,8/22/25,3,7,43,not yet proficient
"Grade 4, Module 6, Topic E Quiz 3",open,TQ,FALSE,4,6,em2ca,Riverbend Elementary School,4/4/25,4/4/25,6,16,38,not yet proficient
"Grade 3, Module 1, Topic B Quiz 3",open,TQ,FALSE,3,1,em2ca,Foxglen Elementary School,11/21/25,11/21/25,3,9,33,not yet proficient
"Grade 4, Module 5, Topic B Quiz 2",open,TQ,FALSE,4,5,em2ca,Thornberry Elementary School,6/23/25,6/23/25,4,10,40,not yet proficient
"Grade 5, Module 5, Topic E Quiz 1",open,TQ,FALSE,5,5,em2ca,Riverbend Elementary School,4/18/25,4/18/25,8,12,67,proficient
"Grade 5, Module 2, Topic C Quiz 3",open,TQ,FALSE,5,2,em2ca,Driftwood Elementary School,6/6/25,6/6/25,15,15,100,advanced
"Grade 5, Module 1, Topic A Quiz 3",open,TQ,FALSE,5,1,em2ca,Copperfield Elementary School,6/8/25,6/8/25,4,8,50,partially proficient
"Grade 4, Module 5, Topic A Quiz 3",open,TQ,FALSE,4,5,em2ca,Thornberry Elementary School,11/16/25,11/16/25,3,14,21,not yet proficient
"Grade 5, Module 6, Topic B Quiz 3",open,TQ,FALSE,5,6,em2ca,Cobblestone Elementary School,8/5/25,8/5/25,4,14,29,not yet proficient
"Grade 4, Module 6, Topic F Quiz 1",open,TQ,FALSE,4,6,em2ca,Songbird Meadows Elementary School,9/2/25,9/2/25,9,12,75,proficient
"Grade 3, Module 2, Topic B Quiz 1",open,TQ,FALSE,3,2,em2ca,Foxglen Elementary School,2/16/25,2/16/25,6,18,33,not yet proficient
"Grade 3, Module 4, Topic A Quiz 2",open,TQ,FALSE,3,4,em2ca,Sequoia Elementary School,5/9/25,5/9/25,6,9,67,proficient
"Grade 4, Module 3, Topic B Quiz 3",open,TQ,FALSE,4,3,em2ca,Wildflower Elementary School,3/24/25,3/24/25,10,17,59,partially proficient
"Grade 5, Module 5, Topic E Quiz 2",open,TQ,FALSE,5,5,em2ca,Sequoia Elementary School,8/4/25,8/4/25,15,15,100,advanced
"Grade 4, Module 1, Topic E Quiz 1",open,TQ,FALSE,4,1,em2ca,Lantern Hill Elementary School,10/25/25,10/25/25,3,7,43,not yet proficient
"Grade 4, Module 5, Topic D Quiz 2",open,TQ,FALSE,4,5,em2ca,Lantern Hill Elementary School,5/19/25,5/19/25,6,10,60,partially proficient
"Grade 3, Module 4, Topic A Quiz 2",open,TQ,FALSE,3,4,em2ca,Quartz Creek Elementary School,1/1/25,1/1/25,6,16,38,not yet proficient
"Grade 3, Module 5, Topic B Quiz 1",open,TQ,FALSE,3,5,em2ca,Marigold Elementary School,10/21/25,10/21/25,4,9,44,not yet proficient
"Grade 3, Module 6, Topic D Quiz 3",open,TQ,FALSE,3,6,em2ca,Aspen Grove Elementary School,8/28/25,8/28/25,9,16,56,partially proficient
"Grade 4, Module 3, Topic C Quiz 2",open,TQ,FALSE,4,3,em2ca,Hawthorn Park Elementary School,5/9/25,5/9/25,12,14,86,advanced
"Grade 3, Module 3, Topic E Quiz 2",open,TQ,FALSE,3,3,em2ca,Aspen Grove Elementary School,7/26/25,7/26/25,13,18,72,proficient
"Grade 4, Module 1, Topic C Quiz 3",open,TQ,FALSE,4,1,em2ca,Copperfield Elementary School,10/17/25,10/17/25,3,8,38,not yet proficient
"Grade 3, Module 6, Topic A Quiz 1",open,TQ,FALSE,3,6,em2ca,Driftwood Elementary School,8/19/25,8/19/25,5,7,71,proficient
"Grade 4, Module 3, Topic F Quiz 1",open,TQ,FALSE,4,3,em2ca,Copperfield Elementary School,10/14/25,10/14/25,4,9,44,not yet proficient
"Grade 3, Module 5, Topic D Quiz 3",open,TQ,FALSE,3,5,em2ca,Birchwood Elementary School,3/21/25,3/21/25,1,13,8,not yet proficient
"Grade 5, Module 1, Topic C Quiz 1",open,TQ,FALSE,5,1,em2ca,Foxglen Elementary School,5/8/25,5/8/25,4,7,57,partially proficient
